Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
320.8	1.4					
320.5	1.4					
320.3	1.4					
320.3	1.4					
320	1.4					
321.3	1.4					
321.2	1.4					
321.2	1.4					
321.9	1.4					
321.2	1.4					
321	1.4					
321.8	1.4					
321	1.4					
321.5	1.4					
322.2	1.4					
320.7	1.4					
321.6	1.4					
321.5	1.4					
321.2	1.4					
322.4	1.4					
322.4	1.4					
322	1.4					
322.2	1.4					
321.3	1.4					
321.9	1.4					
322.1	1.4					
321.7	1.4					
323	1.4					
322.2	1.4					
321.7	1.4					
322.9	1.4					
322.6	1.4					
322.6	1.4					
324.2	1.4					
323.5	1.4					
323.6	1.4					
323.9	1.4					
323.2	1.4					
324.1	1.4					
324.3	1.4					
323.7	1.4					
324.2	1.4					
323.7	1.4					
323.7	1.4					
324.8	1.4					
324.1	1.4					
325.1	1.4					
325.3	1.4					
324.1	1.4					
325.2	1.4					
325.4	1.4					
324.9	1.4					
326.5	1.4					
325.8	1.4					
325.4	1.4					
326.5	1.4					
325.9	1.4					
326.4	1.4					
327.2	1.4					
326.8	1.4					
327	1.4					
326.7	1.4					
326	1.4					
327.1	1.4					
326.8	1.4					
327.3	1.4					
327.9	1.4					
326.9	1.4					
327.3	1.4					
327.7	1.4					
327	1.4					
328	1.4					
328	1.4					
326.7	1.4					
327.2	1.4					
326.6	1.4					
326.7	1.4					
327.7	1.4					
327.7	1.4					
328	1.4					
328.1	1.4					
326.9	1.4					
328	1.4					
327.9	1.4					
327.9	1.4					
328.8	1.4					
327.6	1.4					
327.6	1.4					
328.5	1.4					
327.9	1.4					
328.9	1.4					
329.3	1.4					
328.1	1.4					
328.7	1.4					
328.4	1.4					
328.1	1.4					
329.1	1.4					
329	1.4					
329.6	1.4					
329.8	1.4					
329.5	1.4					
330.6	1.4					
330.5	1.4					
330.2	1.4					
331.7	1.4					
330.4	1.4					
330.4	1.4					
331.1	1.4					
330.3	1.4					
330.8	1.4					
331.6	1.4					
331.3	1.4					
331.7	1.4					
331.3	1.4					
331.4	1.4					
332	1.4					
331.2	1.4					
331.9	1.4					
331.6	1.4					
330.7	1.4					
331.8	1.4					
331.9	1.4					
331.8	1.4					
333.5	1.4					
333	1.4					
332.8	1.4					
333.5	1.4					
333.1	1.4					
334	1.4					
334.6	1.4					
334.6	1.4					
335.5	1.4					
335.1	1.4					
335.3	1.4					
